what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241962136307
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1241962144952
started,bundle,org.eclipse.debug.core,3.4.1.v20090106_r342,org.eclipse.debug.core,1241962152709
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1241962152900
started,bundle,com.android.ide.eclipse.ddms,0.9.1.v200905011822-1621,com.android.ide.eclipse.ddms,1241962154522
started,bundle,com.android.ide.eclipse.adt,0.9.1.v200905011822-1621,com.android.ide.eclipse.adt,1241962155883
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1241962155960
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1241962155985
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1241962174467
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1241962174467
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241962174573
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1241962176357
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241962186184
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241962200553
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241962201938
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1241962203385
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1241962203412
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1241962203463
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241962204187
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1241962211348
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1241962211372
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1241962211383
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1241962211463
stopped,bundle,com.android.ide.eclipse.adt,0.9.1.v200905011822-1621,com.android.ide.eclipse.adt,1241962211465
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1241962211475
